Title,Official Name,Date
Remarks at the 2018 Annual International Women of Courage Awards Ceremony,,3/23/18
Section 508 Accessibility Statement,,4/28/17
Deputy Secretary Sullivan's Meeting With Saudi Crown Prince Mohammed bin Salman,,3/23/18
Section 508 Accessibility Statement,,4/28/17
Houthi Missile Attacks in Saudi Arabia,Heather Nauert,3/26/18
Section 508 Accessibility Statement,,4/28/17
Holding Russia Accountable for Its Destabilizing Behavior,Heather Nauert,3/26/18
Deputy Secretary Sullivan's Meeting With Malaysian Foreign Minister Anifah Aman,,3/26/18
Section 508 Accessibility Statement,,4/28/17
Deputy Secretary Sullivan's Meeting With Indonesian Foreign Minister Retno L.P. Marsudi,,3/26/18
Joint Statement on the 15th Meeting of the India-U.S. Working Group on Counterterrorism,,3/27/18
The 70th Anniversary of the Marshall Plan: A Legacy Remembered,,3/27/18
Section 508 Accessibility Statement,,4/28/17
Section 508 Accessibility Statement,,4/28/17
Section 508 Accessibility Statement,,4/28/17
Section 508 Accessibility Statement,,4/28/17
Section 508 Accessibility Statement,,4/28/17
"The Bureau of Overseas Buildings Operations Dedicates the New U.S. Embassy in The Hague, Netherlands",,3/26/18
Arrest of Serbian Official in Kosovo,Heather Nauert,3/27/18
Section 508 Accessibility Statement,,4/28/17
Section 508 Accessibility Statement,,4/28/17
Section 508 Accessibility Statement,,4/28/17
Section 508 Accessibility Statement,,4/28/17
Section 508 Accessibility Statement,,4/28/17
Section 508 Accessibility Statement,,4/28/17
U.S. Department of State Renews Charter of Cultural Property Advisory Committee,,4/2/18
"Ambassador Tina Kaidanow, Principal Deputy Assistant Secretary of State for Political-Military Affairs, Travels to Turkey and Iraq",,3/27/18
Senior Bureau Official for the Bureau of South and Central Asian Affairs Alice Wells Travels to Pakistan,,3/28/18
Principal Deputy Assistant Secretary for South and Central Asian Affairs Alice Wells Travels to India,,4/2/18
Poland: United States and Poland Sign Patriot Deal,Heather Nauert,3/28/18
Section 508 Accessibility Statement,,4/28/17
Update to Immigrant Visa Processing for Cuban Nationals,,3/29/18
Protect Civil Society in Ukraine,Heather Nauert,3/30/18
Acting Assistant Secretary for East Asian and Pacific Affairs Susan Thornton Travels to Malaysia,,4/1/18
Section 508 Accessibility Statement,,4/28/17
Section 508 Accessibility Statement,,4/28/17
Section 508 Accessibility Statement,,4/28/17
Section 508 Accessibility Statement,,4/28/17
Section 508 Accessibility Statement,,4/28/17
Section 508 Accessibility Statement,,4/28/17
Section 508 Accessibility Statement,,4/28/17
Section 508 Accessibility Statement,,4/28/17
Egyptian Elections,Heather Nauert,4/2/18
Section 508 Accessibility Statement,,4/28/17
Costa Rica's Presidential Election,Heather Nauert,4/2/18
Briefing on The Indo-Pacific Strategy,Alex N. Wong,4/2/18
Amendments to the Terrorist Designation of Lashkar e-Tayyiba,,4/2/18
United States Announces Additional Humanitarian Assistance for Yemen at High-Level Pledging Conference,,4/3/18
Section 508 Accessibility Statement,,4/28/17
Top State Department Drugs Official To Moderate Global Opioid Crisis Panel at National Drug Abuse Summit,,4/3/18
On the Occasion of the Republic of Senegal's National Day,John J. Sullivan,4/3/18
Acting Secretary Sullivan's Meeting With Moroccan Foreign Minister Nasser Bourita,,4/3/18
Section 508 Accessibility Statement,,4/28/17
Section 508 Accessibility Statement,,4/28/17
Section 508 Accessibility Statement,,4/28/17
Section 508 Accessibility Statement,,4/28/17
Section 508 Accessibility Statement,,4/28/17
Section 508 Accessibility Statement,,4/28/17
Section 508 Accessibility Statement,,4/28/17
Section 508 Accessibility Statement,,4/28/17
United States Welcomes Georgia Peace Initiative,Heather Nauert,4/4/18
"The Bureau of Overseas Buildings Operations Breaks Ground on the New U.S. Embassy in Guatemala City, Guatemala",,4/4/18
"First Anniversary of the Sarin Attack in Khan Shaykhun, Syria",Heather Nauert,4/4/18
Acting Secretary Sullivan's Meeting With Chinese Ambassador Cui Tiankai,,4/4/18
UN International Day for Mine Awareness and Assistance in Mine Action,Heather Nauert,4/4/18
U.S. Department of State Honors Global Emerging Young Leaders,,4/5/18
Section 508 Accessibility Statement,,4/28/17
Briefing on U.S. Demining Efforts Around the World,,4/4/18
Section 508 Accessibility Statement,,4/28/17
Section 508 Accessibility Statement,,4/28/17
Section 508 Accessibility Statement,,4/28/17
Sentencing of Peaceful Activists in Vietnam,Heather Nauert,4/5/18
On Panama's Support for Venezuelan Democracy,Heather Nauert,4/6/18
Joint Statement on the U.S.-India-Japan Trilateral Meeting,,4/5/18
Section 508 Accessibility Statement,,4/28/17
Thirty Years of Enhanced Strategic Security Through the Nuclear Risk Reduction Center,,4/6/18
The Bureau of Overseas Buildings Operations Announces the Shortlist for Special Architecture/Engineering Services IDIQ,,4/6/18
International Roma Day,John J. Sullivan,4/6/18
Section 508 Accessibility Statement,,4/28/17
"Joint Statement on First Anniversary of Chemical Attack on Khan Sheikhoun, Syria",,4/4/18
Section 508 Accessibility Statement,,4/28/17
Section 508 Accessibility Statement,,4/28/17
Section 508 Accessibility Statement,,4/28/17
Department of State Participation in Flintlock 2018,,4/6/18
Section 508 Accessibility Statement,,4/28/17
Section 508 Accessibility Statement,,4/28/17
Section 508 Accessibility Statement,,4/28/17
Section 508 Accessibility Statement,,4/28/17
On the Chemical Attack in Douma,Heather Nauert,4/7/18
Commemoration of the 24th Anniversary of the 1994 Genocide in Rwanda,John J. Sullivan,4/7/18
State Department Announces Gilman Top Producing Institutions,,4/9/18
Young Transatlantic Innovation Leaders Initiative Fellows,,4/10/18
Presidential Elections in Sierra Leone,Heather Nauert,4/9/18
Department of State Event Commemorating Yom HaShoah - Holocaust Remembrance Day 2018,,4/9/18
Acting Secretary Sullivan's Phone Calls With UK Foreign Secretary Boris Johnson,,4/9/18
Section 508 Accessibility Statement,,4/28/17
United States and Grenada Sign Open Skies Air Transport Agreement,,4/10/18
Section 508 Accessibility Statement,,4/28/17
Section 508 Accessibility Statement,,4/28/17
Section 508 Accessibility Statement,,4/28/17
Section 508 Accessibility Statement,,4/28/17
Section 508 Accessibility Statement,,4/28/17
Town Hall on Modernizing the Columbia River Treaty Regime,,4/10/18
Section 508 Accessibility Statement,,4/28/17
Presidential Proclamation Lifts Travel Restrictions for Chad,Heather Nauert,4/10/18
On Cuba's Restriction of Civil Society Participation in the Summit of the Americas,Heather Nauert,4/10/18
Section 508 Accessibility Statement,,4/28/17
Myanmar Thingyan Festival,John J. Sullivan,4/10/18
Section 508 Accessibility Statement,,4/28/17
Acting Secretary Sullivan's Meeting With Qatari Emir Sheikh Tamim bin Hamad Al Thani,,4/10/18
On the 20th Anniversary of the Good Friday Agreement,John J. Sullivan,4/11/18
Thailand New Year - Songkran Festival,John J. Sullivan,4/11/18
"Acting Secretary Sullivan Travel to Lima, Peru To Participate in the Summit of the Americas",,4/10/18
Section 508 Accessibility Statement,,4/28/17
Section 508 Accessibility Statement,,4/28/17
Section 508 Accessibility Statement,,4/28/17
Sinhala and Tamil New Year,John J. Sullivan,4/12/18
Nepali New Year,John J. Sullivan,4/12/18
Section 508 Accessibility Statement,,4/28/17
Section 508 Accessibility Statement,,4/28/17
Section 508 Accessibility Statement,,4/28/17
Section 508 Accessibility Statement,,4/28/17
Section 508 Accessibility Statement,,4/28/17
Lao New Year,John J. Sullivan,4/11/18
Khmer New Year,John J. Sullivan,4/11/18
Houthi Missile Attack on Riyadh,Heather Nauert,4/11/18
Crash of Military Aircraft in Algeria,Heather Nauert,4/11/18
Bengali New Year,John J. Sullivan,4/12/18
Acting Secretary Sullivan's Meeting With Venezuelan Civil Society,,4/12/18
Section 508 Accessibility Statement,,4/28/17
Section 508 Accessibility Statement,,4/28/17
Acting Secretary Sullivan's Meeting With Cuban Independent Civil Society,,4/12/18
Section 508 Accessibility Statement,,4/28/17
United States Assisting Venezuelans in Need,,4/13/18
Section 508 Accessibility Statement,,4/28/17
Section 508 Accessibility Statement,,4/28/17
Section 508 Accessibility Statement,,4/28/17
Section 508 Accessibility Statement,,4/28/17
United States Announces Additional Humanitarian Assistance for the Democratic Republic of the Congo (DRC),,4/13/18
Section 508 Accessibility Statement,,4/28/17
Remarks on Venezuela Humanitarian Aid,,4/13/18
Remarks at Funding Initiative for Women's Empowerment Announcement,John J. Sullivan,4/13/18
Section 508 Accessibility Statement,,4/28/17
"Assistant Secretary Carl Risch Travels to Morocco, Nigeria, and Ethiopia",,4/13/18
Acting Secretary Sullivan's Meeting With Haitian President Jovenel Moise,,4/14/18
Ambassador at Large for International Religious Freedom Sam Brownback's Travel to Turkey and Bangladesh,,4/13/18
Acting Secretary Sullivan's Meeting With Caribbean Leaders,,4/15/18
"Acting Secretary Sullivan Meets With the Governments of Mexico, El Salvador, Guatemala, and Honduras ",,4/13/18
Section 508 Accessibility Statement,,4/28/17
Section 508 Accessibility Statement,,4/28/17
Section 508 Accessibility Statement,,4/28/17
Section 508 Accessibility Statement,,4/28/17
Section 508 Accessibility Statement,,4/28/17
U.S. and International Security Officials Collaborate To Create a More Safe and Secure World,,4/16/18
Section 508 Accessibility Statement,,4/28/17
Statement on the Trial of Pastor Andrew Brunson,Heather Nauert,4/16/18
Section 508 Accessibility Statement,,4/28/17
Public Designation of Tom Doshi Under Section 7031(c) of the FY 2017 Consolidated Appropriations Act,,4/16/18
Section 508 Accessibility Statement,,4/28/17
Central American Senior-Level Natural Gas Policy and Investment Roundtable,,4/16/18
Zimbabwe National Day,John J. Sullivan,4/18/18
Section 508 Accessibility Statement,,4/28/17
Shooting of Five Civilian Employees of Donetsk Filtration Station,Heather Nauert,4/18/18
Progress toward Strengthening and Expanding Central America's Regional Electricity Market,Heather Nauert,4/18/18
"Holding Russia Accountable for Chemical Weapons Use in Salisbury, UK",Heather Nauert,4/18/18
Section 508 Accessibility Statement,,4/28/17
Acting Assistant Secretary Susan Thornton Travels to Seoul and Tokyo,,4/18/18
U.S.-Morocco Strategic Energy Working Group on Energy Cooperation,,4/19/18
U.S. Department of State and the Business Council for International Understanding to Co-host the U.S.-Japan Business Roundtable on Infrastructure Cooperation in Third Countries,,4/19/18
U.S. Policy on the Export of Unmanned Aerial Systems,,4/19/18
On the Occasion of Israel's National Day,John J. Sullivan,4/19/18
Fifteenth Session of the Bilateral Consultative Commission Under the New START Treaty,,4/19/18
Briefing on Updated Conventional Arms Transfer Policy and Unmanned Aerial Systems (UAS) Export Policy,Tina S. Kaidanow,4/19/18
Section 508 Accessibility Statement,,4/28/17
Section 508 Accessibility Statement,,4/28/17
Section 508 Accessibility Statement,,4/28/17
Section 508 Accessibility Statement,,4/28/17
Section 508 Accessibility Statement,,4/28/17
Section 508 Accessibility Statement,,4/28/17
Section 508 Accessibility Statement,,4/28/17
Assistant Secretary of State Dr. Christopher A. Ford To Head U.S. Delegation of the NPT Preparatory Committee 2018 in Geneva,,4/19/18
Acting Secretary of State Sullivan to Travel to Toronto,Heather Nauert,4/19/18
Acting Secretary Sullivan's Meeting With UN Special Envoy of the Secretary-General for Yemen Martin Griffiths,,4/19/18
Acting Secretary Sullivan To Release the 2017 Human Rights Reports,,4/19/18
Section 508 Accessibility Statement,,4/28/17
Remarks on the Release of the 2017 Country Reports on Human Rights Practices,John J. Sullivan,4/20/18
U.S. - Poland Science and Technology Agreement Signing Ceremony at Department of State,,4/20/18
Section 508 Accessibility Statement,,4/28/17
Briefing on the Release of the 2017 Country Reports on Human Rights Practices,Michael G. Kozak,4/20/18
"Baseball Hall of Famer Cal Ripken, Jr., Highlights Centennial Celebration of U.S.-Czech Relations",,4/20/18
Section 508 Accessibility Statement,,4/28/17
Section 508 Accessibility Statement,,4/28/17
Section 508 Accessibility Statement,,4/28/17
Section 508 Accessibility Statement,,4/28/17
Section 508 Accessibility Statement,,4/28/17
Section 508 Accessibility Statement,,4/28/17
Principal Deputy Assistant Secretary Yamamoto Travel to East Africa,,4/21/18
Section 508 Accessibility Statement,,4/28/17
Acting Secretary Sullivan's Meeting with Ukrainian Foreign Minister Klimkin,,4/21/18
Call for Calm in Nicaragua,Heather Nauert,4/22/18
Section 508 Accessibility Statement,,4/28/17
Background Briefing Following the First Day of Meetings at the G7 Foreign Ministers Meeting in Toronto,,4/22/18
Background Briefing Previewing Acting Secretary Sullivan's Trip to the G7 Foreign Ministers Meeting in Toronto,,4/22/18
Attack on Voter Registration Center in Kabul,John J. Sullivan,4/22/18
Acting Secretary Sullivan's Meeting With U.K. Foreign Secretary Johnson,,4/22/18
Section 508 Accessibility Statement,,4/28/17
"Press Availability in Toronto, Canada",John J. Sullivan,4/23/18
Section 508 Accessibility Statement,,4/28/17
Section 508 Accessibility Statement,,4/28/17
Section 508 Accessibility Statement,,4/28/17
Section 508 Accessibility Statement,,4/28/17
Section 508 Accessibility Statement,,4/28/17
Section 508 Accessibility Statement,,4/28/17
Anzac Day,John J. Sullivan,4/23/18
Acting Secretary of State John J. Sullivan With Traveling Press,,4/23/18
Acting Secretary Sullivan's Meeting With Japanese Foreign Minister Taro Kono,,4/23/18
Paraguayan Presidential Elections,Heather Nauert,4/23/18
Section 508 Accessibility Statement,,4/28/17
Section 508 Accessibility Statement,,4/28/17
Section 508 Accessibility Statement,,4/28/17
Section 508 Accessibility Statement,,4/28/17
Ongoing U.S. Humanitarian Assistance for the Rakhine State Crisis,,4/23/18
Section 508 Accessibility Statement,,4/28/17
"One-year Anniversary of the Tragic Death of U.S. Citizen Joseph Stone, Paramedic with the OSCE Special Monitoring Mission",Heather Nauert,4/23/18
Section 508 Accessibility Statement,,4/28/17
Nicaragua: Travel Advisory Remains Level 3 - Reconsider Travel,,4/23/18
Section 508 Accessibility Statement,,4/28/17
Joint Statement of the Second Public-Private Sector Roundtable Discussion on U.S.-Japan Cooperation on Third Country Infrastructure,,4/23/18
Section 508 Accessibility Statement,,4/28/17
Remarks at a State Luncheon in Honor of French President Emmanuel Macron and Mrs. Macron,John J. Sullivan,4/24/18
Fortune's Most Powerful Women To Mentor 16 Women From Around the World,,4/24/18
Ambassador Nathan A. Sales Travel to France and Jordan,,4/24/18
Section 508 Accessibility Statement,,4/28/17
U.S. Department of State Debars 168 Persons for Violating or Conspiring To Violate the Arms Export Control Act,,4/25/18
Acting Assistant Secretary Palmieri To Deliver Keynote Speech at the Lake Roosevelt Forum,,4/23/18
Section 508 Accessibility Statement,,4/28/17
Section 508 Accessibility Statement,,4/28/17
Welcome Step Forward in Transnistria Peace Process in Moldova,Heather Nauert,4/24/18
The United States Urges Constructive Dialogue in Armenia,Heather Nauert,4/24/18
"The Bureau of Overseas Buildings Operations Dedicates the New U.S. Consulate General in Nuevo Laredo, Mexico",,4/24/18
Section 508 Accessibility Statement,,4/28/17
Section 508 Accessibility Statement,,4/28/17
Section 508 Accessibility Statement,,4/28/17
Section 508 Accessibility Statement,,4/28/17
Section 508 Accessibility Statement,,4/28/17
Section 508 Accessibility Statement,,4/28/17
"U.S. Department of State Concludes $30 Million Settlement of Alleged Export Violations by FLIR Systems, Inc.",,4/25/18
Acting Secretary Sullivan Travel to Brussels,Heather Nauert,4/25/18
On Taliban Announcement of Spring Offensive,John J. Sullivan,4/25/18
Background Briefing With Senior State Department Official on Acting Secretary Sullivan's Trip to the NATO Foreign Ministerial,,4/25/18
U.S. Aviation Sales to Turkey,Heather Nauert,4/26/18
Section 508 Accessibility Statement,,4/28/17
"Secretary Pompeo Travel to Brussels, Riyadh, Tel Aviv, and Amman",Heather Nauert,4/26/18
On the Occasion of the United Republic of Tanzania's Union Day,Mike Pompeo,4/26/18
On the Occasion of Koningsdag in the Kingdom of the Netherlands,John J. Sullivan,4/26/18
Section 508 Accessibility Statement,,4/28/17
Section 508 Accessibility Statement,,4/28/17
Section 508 Accessibility Statement,,4/28/17
Section 508 Accessibility Statement,,4/28/17
Section 508 Accessibility Statement,,4/28/17
Section 508 Accessibility Statement,,4/28/17
Section 508 Accessibility Statement,,4/28/17
Section 508 Accessibility Statement,,4/28/17
"Sudan: End Fighting, Open Humanitarian Access in Jebel Marra, Darfur",Heather Nauert,4/27/18
Section 508 Accessibility Statement,,4/28/17
Secretary Pompeo's Meeting with Italian Foreign Minister Alfano,,4/27/18
Section 508 Accessibility Statement,,4/28/17
Secretary Pompeo's Meeting With Turkish Foreign Minister Çavusoglu,,4/27/18
Republic of the Marshall Islands Constitution Day,Mike Pompeo,4/27/18
Section 508 Accessibility Statement,,4/28/17
Section 508 Accessibility Statement,,4/28/17
Commemorating the Birthday of the Disappeared Panchen Lama,Heather Nauert,4/26/18
Section 508 Accessibility Statement,,4/28/17
Briefing With Spokesperson Heather Nauert,Heather Nauert,4/26/18
"Assistant Secretary Mitchell Travel to Brussels, Tbilisi, and Kyiv",,4/26/18
Vesak Day,Mike Pompeo,4/27/18
Section 508 Accessibility Statement,,4/28/17
Section 508 Accessibility Statement,,4/28/17
Section 508 Accessibility Statement,,4/28/17
Section 508 Accessibility Statement,,4/28/17
On the Occasion of the Republic of Sierra Leone's National Day,Mike Pompeo,4/27/18
Joint Statement of the 2018 U.S.-Japan-Mongolia Trilateral Meeting,,4/27/18
Situation in Armenia,Heather Nauert,4/28/18
Interview With Jonathan Karl of ABC's This Week,Mike Pompeo,4/28/18
Remarks at a Press Availability,Mike Pompeo,4/27/18
Remarks With NATO Secretary General Jens Stoltenberg Before Their Meeting,Mike Pompeo,4/27/18
On the Occasion of the Republic of Togo's National Day,Mike Pompeo,4/27/18
On the Occasion of the Republic of South Africa's National Day,Mike Pompeo,4/27/18
Section 508 Accessibility Statement,,4/28/17
Section 508 Accessibility Statement,,4/28/17
Section 508 Accessibility Statement,,4/28/17
Section 508 Accessibility Statement,,4/28/17
Section 508 Accessibility Statement,,4/28/17
Section 508 Accessibility Statement,,4/28/17
Section 508 Accessibility Statement,,4/28/17
Terrorist Attack in Kabul,Mike Pompeo,4/30/18
Section 508 Accessibility Statement,,4/28/17
State Department Honors Global Emerging Young Leaders,,4/30/18
Secretary Pompeo's Meeting With Jordanian Foreign Minister Safadi,,4/30/18
Section 508 Accessibility Statement,,4/28/17
Section 508 Accessibility Statement,,4/28/17
Section 508 Accessibility Statement,,4/28/17
Section 508 Accessibility Statement,,4/28/17
"State Department Announces 22nd Experience America Visit to Indianapolis, Indiana",,4/29/18
Remarks to the Press,Mike Pompeo,4/29/18
Secretary Pompeo's Meeting With Japanese Foreign Minister Taro Kono,,4/30/18
Remarks With Saudi Foreign Minister Adel al-Jubeir,Mike Pompeo,4/29/18
Remarks With Israeli Prime Minister Benjamin Netanyahu After Their Meeting,Mike Pompeo,4/29/18
Section 508 Accessibility Statement,,4/28/17
Secretary Pompeo's Meeting With His Majesty King Abdullah II of Jordan,,4/30/18
Secretary Pompeo To Deliver Remarks to State Department Employees,,4/30/18
Remarks on Iran Atomic Archive,Mike Pompeo,4/30/18
Section 508 Accessibility Statement,,4/28/17
Section 508 Accessibility Statement,,4/28/17
Iran Atomic Archive,Mike Pompeo,4/30/18
Welcome Remarks to Employees,Mike Pompeo,5/1/18
Section 508 Accessibility Statement,,4/28/17
U.S.-Honduras Bilateral Human Rights Working Group,,5/1/18
"U.S. Department of State Hosts ""Why Air Quality Monitoring Matters"" Discussion and Inducts First U.S. Embassy Monitor Into Permanent Collection",,5/1/18
Section 508 Accessibility Statement,,4/28/17
Section 508 Accessibility Statement,,4/28/17
Section 508 Accessibility Statement,,4/28/17
Section 508 Accessibility Statement,,4/28/17
Press Availability With Jordanian Foreign Minister Ayman Safadi,Mike Pompeo,4/30/18
Proposed Constitutional Amendments in Burundi,Heather Nauert,5/1/18
Section 508 Accessibility Statement,,4/28/17
Launching of Operations To Liberate Final ISIS Strongholds in Syria,Heather Nauert,5/1/18
Deputy Secretary Sullivan's Meeting With Nigerian Foreign Minister Geoffrey Onyeama,,5/1/18
Section 508 Accessibility Statement,,4/28/17
Section 508 Accessibility Statement,,4/28/17
The Global Engagement Center's Technology Series To Counter Foreign Propaganda and Disinformation,,5/2/18
Remarks at Swearing-in Ceremony,Mike Pompeo,5/2/18
Section 508 Accessibility Statement,,4/28/17
On the Occasion of North Korea Freedom Week,Heather Nauert,5/2/18
Attack on Libyan High National Elections Commission,Heather Nauert,5/2/18
Section 508 Accessibility Statement,,4/28/17
Section 508 Accessibility Statement,,4/28/17
Section 508 Accessibility Statement,,4/28/17
Section 508 Accessibility Statement,,4/28/17
World Press Freedom Day,Mike Pompeo,5/3/18
Secretary Pompeo To Deliver Remarks at the Foreign Affairs Day Celebration and Attend the AFSA Memorial Plaque Ceremony on May 4,,5/3/18
Section 508 Accessibility Statement,,4/28/17
Poland National Day,Mike Pompeo,5/3/18
Remarks at the Department of State's Foreign Affairs Day,Mike Pompeo,5/4/18
Section 508 Accessibility Statement,,4/28/17
Section 508 Accessibility Statement,,4/28/17
Remarks at the American Foreign Service Association (AFSA) Memorial Plaque Ceremony,Mike Pompeo,5/4/18
Secretary Pompeo's Phone Call With Chinese Politburo Member Yang Jiechi,,5/5/18
U.S. Congratulates Tunisians on Municipal Elections,Heather Nauert,5/7/18
Deputy Secretary Sullivan To Deliver Opening Keynote Remarks at the 48th Annual Washington Conference on the Americas,,5/7/18
Section 508 Accessibility Statement,,4/28/17
Section 508 Accessibility Statement,,4/28/17
Section 508 Accessibility Statement,,4/28/17
Section 508 Accessibility Statement,,4/28/17
Section 508 Accessibility Statement,,4/28/17
Annual Greening Diplomacy Initiative Award Winners Announced,,5/7/18
Section 508 Accessibility Statement,,4/28/17
Remarks to the Traveling Press,Mike Pompeo,5/8/18
On President Trump's Decision to Withdraw From the JCPOA,Mike Pompeo,5/8/18
Election of Nikol Pashinyan as Prime Minister of Armenia,Heather Nauert,5/8/18
Section 508 Accessibility Statement,,4/28/17
Section 508 Accessibility Statement,,4/28/17
Section 508 Accessibility Statement,,4/28/17
Closure of Controlled Crossing Points in Russian Occupied Georgian Territory of South Ossetia,Heather Nauert,5/8/18
Background Briefing On Secretary Pompeo's Travel To Meet With Representatives From the Democratic People's Republic of North Korea,,5/8/18
Section 508 Accessibility Statement,,4/28/17
Statement From the Freed Americans,,5/9/18
Section 508 Accessibility Statement,,4/28/17
Section 508 Accessibility Statement,,4/28/17
Section 508 Accessibility Statement,,4/28/17
Situation on the Yemeni Island of Socotra,Heather Nauert,5/9/18
Background Briefing on President Trump's Decision To Withdraw From the JCPOA,,5/8/18
Remarks to the Traveling Press,Mike Pompeo,5/9/18
On the Occasion of Europe Day,Mike Pompeo,5/9/18
Malaysian General Election,Heather Nauert,5/9/18
Section 508 Accessibility Statement,,4/28/17
Section 508 Accessibility Statement,,4/28/17
Section 508 Accessibility Statement,,4/28/17
Section 508 Accessibility Statement,,4/28/17
Section 508 Accessibility Statement,,4/28/17
The Bureau of Overseas Buildings Operations Announces the Final Selection for Special Architecture/Engineering Services IDIQ Contract,,5/10/18
Remarks With Chilean Foreign Minister Roberto Ampuero Espinoza Before Their Meeting,John J. Sullivan,5/10/18
Section 508 Accessibility Statement,,4/28/17
New All-Cargo Rights Added to U.S.-Jamaica Air Transport Agreement,,5/10/18
Section 508 Accessibility Statement,,4/28/17
"Addressing the Challenge of Returning Families of Foreign Terrorist Fighters: Workshop Held in Bali, Indonesia",,5/9/18
U.S. Embassy Jerusalem Dedication Ceremony,,5/11/18
Under Secretary Andrea L. Thompson Travels to France and the United Kingdom,,5/11/18
Section 508 Accessibility Statement,,4/28/17
Remarks With Republic of Korea Foreign Minister Kang Kyung-wha at a Press Availability,Mike Pompeo,5/11/18
Remarks With Canadian Foreign Minister Chrystia Freeland Before Their Meeting,Mike Pompeo,5/11/18
Section 508 Accessibility Statement,,4/28/17
Section 508 Accessibility Statement,,4/28/17
Section 508 Accessibility Statement,,4/28/17
Section 508 Accessibility Statement,,4/28/17
Congratulations to State Department Employees Hoa Thi Tran and the Asia Assistance Team as 2018 Service to America Medal Finalist,,5/11/18
Condemning Violence in Nicaragua,Heather Nauert,5/11/18
Section 508 Accessibility Statement,,4/28/17
Section 508 Accessibility Statement,,4/28/17
Section 508 Accessibility Statement,,4/28/17
Iraqi Parliamentary Election,Mike Pompeo,5/12/18
Interview With Margaret Brennan of CBS Face the Nation,Mike Pompeo,5/13/18
Section 508 Accessibility Statement,,4/28/17
United Arab Emirates: Discussions Seek Level Playing Field,,5/14/18
Section 508 Accessibility Statement,,4/28/17
Section 508 Accessibility Statement,,4/28/17
Section 508 Accessibility Statement,,4/28/17
Briefing on the Opening of the U.S. Embassy in Jerusalem,David Melech Friedman,5/11/18
Acting Assistant Secretary for East Asian and Pacific Affairs Susan Thornton Travels to China and Japan,,5/11/18
U.S.-Brazil Bilateral Cooperation on Cyber and Internet Policy,,5/14/18
Interview With Chris Wallace of Fox News Sunday,Mike Pompeo,5/13/18
Timor-Leste Parliamentary Elections,Heather Nauert,5/14/18
Section 508 Accessibility Statement,,4/28/17
Section 508 Accessibility Statement,,4/28/17
Section 508 Accessibility Statement,,4/28/17
Section 508 Accessibility Statement,,4/28/17
Secretary Pompeo's Participation in a Meeting of the Lima Group,,5/14/18
"Secretary Pompeo's Calls With French Foreign Minister Le Drian, UK Foreign Secretary Johnson, and German Foreign Minister Maas",,5/14/18
Section 508 Accessibility Statement,,4/28/17
Remarks at the Dedication Ceremony of the U.S. Embassy in Jerusalem,John J. Sullivan,5/14/18
Section 508 Accessibility Statement,,4/28/17
Remarks With United Arab Emirates Foreign Minister Sheikh Abdullah bin Zayed Al-Nahyan Before Their Meeting,Mike Pompeo,5/14/18
Secretary Pompeo's Meeting With Foreign Minister Sheikh Abdullah bin Zayed Al Nahyan of the United Arab Emirates,,5/14/18
Oppression of Baha'is in Yemen,Heather Nauert,5/14/18
Section 508 Accessibility Statement,,4/28/17
On the Opening of U.S. Embassy Jerusalem ,Mike Pompeo,5/14/18
Section 508 Accessibility Statement,,4/28/17
Section 508 Accessibility Statement,,4/28/17
Section 508 Accessibility Statement,,4/28/17
Section 508 Accessibility Statement,,4/28/17
Paraguay National Day,Mike Pompeo,5/14/18
New U.S.-Morocco Plan of Action Promotes Innovation in Waste Management and Pollution Mitigation,,5/14/18
Section 508 Accessibility Statement,,4/28/17
The Opening of the Kerch Bridge in Crimea,Heather Nauert,5/15/18
Section 508 Accessibility Statement,,4/28/17
On the Occasion of Ramadan,Mike Pompeo,5/15/18
Chinese Government's Harassment of Early Rain Covenant Church,Heather Nauert,5/15/18
State Department Terrorist Designations of ISIS in the Greater Sahara (ISIS-GS) and Adnan Abu Walid al-Sahrawi,,5/16/18
"Secretary Pompeo's Phone Call With Edgars Rinkevics, Minister of Foreign Affairs of the Republic of Latvia",,5/16/18
Section 508 Accessibility Statement,,4/28/17
Secretary Pompeo's Call With Singaporean Foreign Minister Vivian Balakrishnan,,5/16/18
Section 508 Accessibility Statement,,4/28/17
Section 508 Accessibility Statement,,4/28/17
Section 508 Accessibility Statement,,4/28/17
Section 508 Accessibility Statement,,4/28/17
Secretary Pompeo's Call With Qatari Foreign Minister Al Thani,,5/16/18
Section 508 Accessibility Statement,,4/28/17
Release of Anwar Ibrahim,Heather Nauert,5/16/18
Norway National Day,Mike Pompeo,5/16/18
Section 508 Accessibility Statement,,4/28/17
Section 508 Accessibility Statement,,4/28/17
Briefing on the Release of New HIV Treatment Results From the President's Emergency Plan for AIDS Relief on its 15th Anniversary,,5/16/18
"The Bureau of Overseas Buildings Operations Breaks Ground on the New U.S. Embassy Annex in Nairobi, Kenya",,5/17/18
Secretary Pompeo's Phone Call With Swedish Foreign Minister Margot Wallstrom,,5/17/18
Secretary Pompeo's Meeting With Uzbekistan President Shavkat Mirziyoyev,,5/17/18
Section 508 Accessibility Statement,,4/28/17
Section 508 Accessibility Statement,,4/28/17
Section 508 Accessibility Statement,,4/28/17
Section 508 Accessibility Statement,,4/28/17
Landmark U.S.-Uzbekistan Agreements Signed on Education and Culture ,,5/16/18
Secretary Pompeo's Call With Nigerian President Buhari,,5/17/18
